absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-03-21 12:00:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 12:05:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 12:42:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-21 12:55:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 13:04:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 13:39:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 14:19:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-21 14:25:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 14:39:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 15:14:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 16:14:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 16:49:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 17:49:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 18:24:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 19:24:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 19:59:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 20:58:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 21:34:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-21 22:33:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-21 23:09:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 00:08:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 00:43:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 01:37:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 01:37:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 01:43:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 02:18:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 03:18:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 03:53:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 04:03:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 04:03:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 04:53:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 05:28:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 06:27:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 07:03:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 07:46:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 07:49:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 08:02:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 08:38:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 09:19:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 09:25:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 09:37:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 10:13:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 10:51:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 11:02:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 11:12:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 11:47:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 12:25:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 12:38:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 12:47:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 13:22:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 14:01:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 14:09:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 14:22:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 14:57:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 15:57:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 16:32:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 17:31:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 18:07:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 19:06:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-22 19:06:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 19:06:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 19:42:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 20:41:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 21:16:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 22:16:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-22 22:51:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-22 23:51:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 00:26:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 01:26:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 02:01:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 03:00:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 03:36:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 04:35:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 05:11:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 06:10:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 06:46:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 07:29:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 07:30:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 07:45:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 08:20:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 09:02:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 09:08:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 09:20:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 09:55:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 10:34:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 10:45:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 10:55:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 11:30:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 12:07:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 12:20:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 12:30:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 13:05:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 13:43:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-23 13:53:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 14:04:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 14:40:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 15:39:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 16:15:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 17:14:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 17:49:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 18:49:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 19:24:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 20:24:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 20:59:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 21:59:00,True,0,PAYLOAD,IDLE,IDLE
2025-03-23 22:34:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-23 23:33:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 00:09:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 01:08:50,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 01:44:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 02:43:40,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 03:19:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 04:18:30,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 04:53:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 05:53:20,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 06:28:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 07:28:10,True,0,PAYLOAD,IDLE,IDLE
2025-03-24 08:03:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-03-24 08:45:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-03-24 08:50:10,False,0,PAYLOAD,SCIENCE,SCIENCE
