absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode,
3/22/2025 10:10,TRUE,0,PAYLOAD,IDLE,IDLE,TRUE
3/22/2025 10:15,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,TRUE
3/22/2025 10:52,FALSE,1,PAYLOAD,ENGINEERING,IDLE,FALSE
3/22/2025 11:05,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 11:14,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 11:49,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 12:29,FALSE,1,PAYLOAD,ENGINEERING,IDLE,FALSE
3/22/2025 12:35,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 12:49,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 13:24,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 14:24,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 14:59,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 15:59,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 16:34,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 17:34,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 18:09,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 19:08,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 19:44,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 20:43,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 21:19,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 22:18,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/22/2025 22:53,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 23:47,FALSE,1,PAYLOAD,ENGINEERING,IDLE,FALSE
3/22/2025 23:47,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/22/2025 23:53,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/23/2025 00:28,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/23/2025 01:28,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/23/2025 02:03,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/23/2025 02:13,FALSE,1,PAYLOAD,ENGINEERING,IDLE,FALSE
3/23/2025 02:13,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/23/2025 03:03,TRUE,0,PAYLOAD,IDLE,IDLE,FALSE
3/23/2025 03:38,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,FALSE
3/23/2025 04:37,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 05:13,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 05:56,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/23/2025 05:59,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 06:12,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 06:48,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 07:29,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/23/2025 07:35,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 07:47,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 08:23,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 09:01,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/23/2025 09:12,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 09:22,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 09:57,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 10:35,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/23/2025 10:48,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 10:57,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 11:32,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 12:11,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/23/2025 12:19,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 12:32,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 13:07,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 14:07,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 14:42,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 15:41,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 16:17,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 17:16,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/23/2025 17:16,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 17:16,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 17:52,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 18:51,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 19:26,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 20:26,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 21:01,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 22:01,TRUE,0,PAYLOAD,IDLE,IDLE,
3/23/2025 22:36,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/23/2025 23:36,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 00:11,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 01:10,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 01:46,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 02:45,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 03:21,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 04:20,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 04:56,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 05:39,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/24/2025 05:40,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 05:55,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 06:30,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 07:12,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/24/2025 07:18,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 07:30,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 08:05,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 08:44,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/24/2025 08:55,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 09:05,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 09:40,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 10:17,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/24/2025 10:30,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 10:40,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 11:15,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 11:53,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/24/2025 12:03,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 12:14,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 12:50,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 13:49,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 14:25,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 15:24,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 15:59,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 16:59,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 17:34,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 18:34,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 19:09,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 20:09,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 20:44,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 21:43,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 22:19,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/24/2025 23:18,TRUE,0,PAYLOAD,IDLE,IDLE,
3/24/2025 23:54,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 00:53,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 01:29,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 02:28,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 03:03,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 04:03,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 04:38,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 05:38,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 06:13,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 06:55,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/25/2025 07:00,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 07:00,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/25/2025 07:00,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 07:13,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 07:48,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 08:27,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/25/2025 08:37,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 08:47,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 09:23,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 10:00,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/25/2025 10:13,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 10:22,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 10:58,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 11:36,FALSE,1,PAYLOAD,ENGINEERING,IDLE,
3/25/2025 11:47,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 11:57,TRUE,0,PAYLOAD,IDLE,IDLE,
3/25/2025 12:32,FALSE,0,PAYLOAD,SCIENCE,SCIENCE,
3/25/2025 13:32,TRUE,0,PAYLOAD,IDLE,IDLE,
