absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-12 17:10:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-12 17:15:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-12 17:52:10+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-12 18:05:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-12 18:14:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-12 18:49:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-12 19:29:00+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-12 19:35:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-12 19:49:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-12 20:24:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-12 21:24:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-12 21:59:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-12 22:59:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-12 23:34:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 00:34:00+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 01:09:20+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 02:08:50+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 02:44:10+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 03:43:40+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 04:19:00+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 05:18:30+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 05:53:50+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 06:47:20+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-13 06:47:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 06:53:20+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 07:28:40+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 08:28:10+00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 09:03:30+00:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 09:13:30+00:00,False,1,PAYLOAD,ENGINEERING,IDLE
