absolute_pdt,absolute_utc,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-13 10:00:00,2025-06-13 17:00:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 10:05:00,2025-06-13 17:05:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 10:42:10,2025-06-13 17:42:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-13 10:55:00,2025-06-13 17:55:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 11:04:30,2025-06-13 18:04:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 11:39:50,2025-06-13 18:39:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 12:19:00,2025-06-13 19:19:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-13 12:25:50,2025-06-13 19:25:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 12:39:20,2025-06-13 19:39:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 13:14:50,2025-06-13 20:14:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 14:14:10,2025-06-13 21:14:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 14:49:40,2025-06-13 21:49:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 15:49:10,2025-06-13 22:49:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 16:24:30,2025-06-13 23:24:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 17:24:00,2025-06-14 00:24:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 17:59:20,2025-06-14 00:59:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 18:58:50,2025-06-14 01:58:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 19:34:10,2025-06-14 02:34:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-13 20:33:40,2025-06-14 03:33:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-13 21:09:00,2025-06-14 04:09:00,False,0,PAYLOAD,SCIENCE,SCIENCE
