absolute_pdt,eclipse,SAA,Spacecraft_mode,SHARP_mode,MeDDEA_mode
2025-06-21 10:10:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 10:15:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 10:52:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-21 11:05:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 11:14:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 11:49:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 12:29:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-21 12:35:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 12:49:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 13:24:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 14:24:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 14:59:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 15:59:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 16:34:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 17:34:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 18:09:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 19:08:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 19:44:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 20:43:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 21:19:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 22:18:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-21 22:53:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 23:47:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-21 23:47:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-21 23:53:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 00:28:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 01:28:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 02:03:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 02:13:30,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-22 02:13:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 03:03:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 03:38:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 04:37:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 05:13:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 05:56:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-22 05:59:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 06:12:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 06:48:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 07:29:40,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-22 07:35:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 07:47:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 08:23:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 09:01:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-22 09:12:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 09:22:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 09:57:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 10:35:00,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-22 10:48:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 10:57:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 11:32:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 12:11:20,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-22 12:19:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 12:32:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 13:07:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 14:07:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 14:42:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 15:41:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 16:17:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 17:16:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-22 17:16:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 17:16:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 17:52:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 18:51:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 19:26:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 20:26:20,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 21:01:40,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 22:01:10,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-22 22:36:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-22 23:36:00,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-23 00:11:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-23 01:10:50,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-23 01:46:20,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-23 02:45:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-23 03:21:10,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-23 04:20:40,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-23 04:56:00,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-23 05:39:10,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-23 05:40:30,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-23 05:55:30,True,0,PAYLOAD,IDLE,SCIENCE
2025-06-23 06:30:50,False,0,PAYLOAD,SCIENCE,SCIENCE
2025-06-23 07:12:50,False,1,PAYLOAD,ENGINEERING,IDLE
2025-06-23 07:18:10,False,0,PAYLOAD,SCIENCE,SCIENCE
